time,close,RSI,RSI_80_fcst,RSI_40_fcst,RSI_60_fcst,RSI_20_fcst,EMA_8,EMA_24,EMA_8_above,EMA_24_above,RSI_fcst,target
2023-07-05T13:00:00+03:00,2804.95,0.48458743,2861.2466,2779.8352,2807.7893,2699.0996,2798.0034,2804.155,1,1,2,2808.11
2023-07-05T14:00:00+03:00,2806.06,0.48385403,2861.599,2781.0945,2808.3105,2702.4062,2798.648,2804.5784,1,1,2,2804.95
2023-07-05T15:00:00+03:00,2811.86,0.4829262,2860.6643,2781.7976,2809.076,2702.0906,2799.7048,2806.1965,1,1,3,2806.06
2023-07-05T16:00:00+03:00,2808.3,0.482138,2862.1165,2782.898,2809.8179,2704.3381,2800.3926,2806.664,1,1,2,2811.86
2023-07-05T17:00:00+03:00,2808.0,0.48152295,2862.1147,2784.2383,2810.3242,2708.2954,2801.001,2806.961,1,1,2,2808.3
2023-07-05T18:00:00+03:00,2805.0,0.48128682,2863.5728,2785.641,2810.9995,2713.27,2801.321,2806.5251,1,0,2,2808.0
2023-07-06T10:00:00+03:00,2829.54,0.47978786,2863.7717,2783.9014,2813.7383,2697.6587,2803.5786,2811.6396,1,1,3,2805.0
2023-07-06T11:00:00+03:00,2835.97,0.47693926,2863.249,2782.9397,2816.7942,2684.5022,2806.17,2817.0464,1,1,3,2829.54
2023-07-06T12:00:00+03:00,2829.68,0.47363806,2867.95,2783.3647,2819.1904,2678.8247,2808.0505,2819.8538,1,1,3,2835.97
2023-07-06T13:00:00+03:00,2825.23,0.47049892,2874.3374,2784.6335,2820.9663,2678.3237,2809.425,2821.0486,1,1,3,2829.68
2023-07-06T14:00:00+03:00,2829.29,0.46737573,2877.6619,2785.9346,2822.7798,2677.9502,2811.0142,2822.88,1,1,3,2825.23
2023-07-06T15:00:00+03:00,2818.86,0.46502623,2888.3367,2787.5967,2824.7217,2680.979,2811.6418,2821.9866,1,0,2,2829.29
2023-07-06T16:00:00+03:00,2816.83,0.4635156,2895.8923,2789.4197,2826.1619,2686.2383,2812.057,2820.8408,1,0,2,2818.86
2023-07-06T17:00:00+03:00,2817.64,0.46259412,2899.1877,2791.2043,2826.9275,2692.2166,2812.5037,2820.1294,1,0,2,2816.83
2023-07-06T18:00:00+03:00,2819.6,0.46201688,2899.5,2792.7896,2827.2566,2697.5732,2813.0713,2820.0117,1,0,2,2817.64
2023-07-07T10:00:00+03:00,2823.16,0.46148723,2897.8347,2794.0383,2827.3623,2701.0344,2813.8784,2820.7114,1,1,2,2819.6
2023-07-07T11:00:00+03:00,2822.31,0.46111763,2895.6372,2795.5457,2827.424,2706.2173,2814.553,2821.0667,1,1,2,2823.16
2023-07-07T12:00:00+03:00,2826.34,0.46063796,2892.4292,2796.677,2827.5164,2708.9966,2815.4958,2822.2385,1,1,2,2822.31
2023-07-07T13:00:00+03:00,2828.0,0.4599812,2888.653,2797.921,2827.7427,2712.1763,2816.496,2823.5188,1,1,3,2826.34
2023-07-07T14:00:00+03:00,2828.28,0.4592546,2884.5938,2799.4292,2827.923,2716.7825,2817.439,2824.577,1,1,3,2828.0
2023-07-07T15:00:00+03:00,2828.08,0.4585364,2880.6301,2801.1218,2828.036,2722.5095,2818.2903,2825.3552,1,1,3,2828.28
2023-07-07T16:00:00+03:00,2829.92,0.45778227,2876.6929,2802.6643,2828.3318,2727.283,2819.2205,2826.3696,1,1,3,2828.08
2023-07-07T17:00:00+03:00,2829.08,0.45708746,2873.6418,2804.3262,2828.5403,2732.896,2820.0093,2826.972,1,1,3,2829.92
2023-07-07T18:00:00+03:00,2832.51,0.45629483,2870.5762,2805.5889,2829.116,2735.98,2821.0093,2828.2026,1,1,3,2829.08
2023-07-10T10:00:00+03:00,2856.71,0.45402306,2868.1548,2803.9685,2832.614,2719.4558,2823.8655,2834.5376,1,1,3,2832.51
2023-07-10T11:00:00+03:00,2857.8,0.4506663,2866.2637,2803.9243,2835.7173,2710.3054,2826.58,2839.707,1,1,3,2856.71
2023-07-10T12:00:00+03:00,2850.67,0.44712082,2871.2131,2804.9707,2838.1912,2707.232,2828.5073,2842.1433,1,1,3,2857.8
2023-07-10T13:00:00+03:00,2849.27,0.4437144,2875.4297,2806.7134,2840.136,2708.3882,2830.1685,2843.727,1,1,3,2850.67
2023-07-10T14:00:00+03:00,2850.22,0.44049233,2877.75,2808.7737,2841.7866,2711.6272,2831.7725,2845.17,1,1,3,2849.27
2023-07-10T15:00:00+03:00,2851.71,0.43744007,2878.7336,2810.956,2843.2847,2715.787,2833.3674,2846.6233,1,1,3,2850.22
2023-07-10T16:00:00+03:00,2853.23,0.43454188,2878.8042,2813.2007,2844.6802,2720.4893,2834.9565,2848.0913,1,1,3,2851.71
2023-07-10T17:00:00+03:00,2857.67,0.43160135,2878.3481,2815.0955,2846.3743,2722.9858,2836.7737,2850.22,1,1,3,2853.23
2023-07-10T18:00:00+03:00,2856.76,0.4287913,2878.3633,2817.3533,2847.76,2727.776,2838.3726,2851.6733,1,1,3,2857.67
2023-07-11T10:00:00+03:00,2865.83,0.42571095,2878.075,2818.6472,2850.0374,2726.2742,2840.569,2854.8193,1,1,3,2856.76
2023-07-11T11:00:00+03:00,2861.81,0.4227245,2881.2114,2820.523,2851.8572,2728.3367,2842.2683,2856.3728,1,1,3,2865.83
2023-07-11T12:00:00+03:00,2859.71,0.42006347,2884.8113,2822.7073,2853.2678,2732.7686,2843.6638,2857.1143,1,1,3,2861.81
2023-07-11T13:00:00+03:00,2860.79,0.4176768,2886.7153,2824.9143,2854.4978,2737.8074,2845.0337,2857.9312,1,1,3,2859.71
2023-07-11T14:00:00+03:00,2858.06,0.41573164,2889.873,2827.1838,2855.4001,2744.0361,2846.076,2857.9597,1,1,3,2860.79
2023-07-11T15:00:00+03:00,2859.07,0.41412488,2891.3022,2829.3125,2856.183,2750.0676,2847.1155,2858.2065,1,1,3,2858.06
2023-07-11T16:00:00+03:00,2852.62,0.413152,2897.3665,2831.2954,2856.9573,2756.5652,2847.556,2856.965,1,0,2,2859.07
2023-07-11T17:00:00+03:00,2861.35,0.41227692,2900.6716,2832.0063,2858.1396,2755.6638,2848.6594,2857.9395,1,1,3,2852.62
2023-07-11T18:00:00+03:00,2860.33,0.4115281,2902.912,2833.1282,2858.981,2757.41,2849.593,2858.4707,1,1,3,2861.35
2023-07-12T10:00:00+03:00,2879.97,0.40994886,2903.878,2831.9907,2862.0325,2744.0488,2852.0232,2863.2483,1,1,3,2860.33
2023-07-12T11:00:00+03:00,2883.11,0.40764317,2904.0164,2831.9,2864.9275,2735.285,2854.51,2867.662,1,1,3,2879.97
2023-07-12T12:00:00+03:00,2887.29,0.40469995,2903.6824,2832.4778,2867.8467,2729.092,2857.1326,2872.024,1,1,3,2883.11
2023-07-12T13:00:00+03:00,2887.84,0.40140057,2903.0474,2834.0654,2870.3547,2727.997,2859.589,2875.5386,1,1,3,2887.29
2023-07-12T14:00:00+03:00,2889.98,0.39788812,2902.2747,2836.1233,2872.73,2729.1094,2862.0203,2878.7478,1,1,3,2887.84
2023-07-12T15:00:00+03:00,2893.4,0.39421397,2901.5105,2838.3435,2875.167,2730.683,2864.5308,2882.004,1,1,3,2889.98
2023-07-12T16:00:00+03:00,2896.37,0.39042944,2900.844,2840.759,2877.6116,2732.995,2867.078,2885.1963,1,1,3,2893.4
2023-07-12T17:00:00+03:00,2896.52,0.38671452,2900.2678,2843.68,2879.7202,2738.2175,2869.4333,2887.7126,1,1,3,2896.37
2023-07-12T18:00:00+03:00,2896.83,0.38316283,2899.777,2846.8628,2881.5698,2745.1968,2871.625,2889.7388,1,1,3,2896.52
2023-07-13T10:00:00+03:00,2891.9,0.38008884,2903.7942,2850.0815,2883.0496,2753.3855,2873.247,2890.219,1,1,3,2896.83
2023-07-13T11:00:00+03:00,2895.26,0.37736994,2906.353,2852.817,2884.6616,2759.3384,2875.008,2891.3394,1,1,3,2891.9
2023-07-13T12:00:00+03:00,2883.79,0.37546673,2918.2139,2855.3933,2885.7517,2766.289,2875.7107,2889.6616,1,0,2,2895.26
2023-07-13T13:00:00+03:00,2881.29,0.37436363,2927.848,2857.7393,2886.7449,2773.7075,2876.157,2887.8013,1,0,2,2883.79
2023-07-13T14:00:00+03:00,2881.21,0.37389538,2933.4229,2859.8687,2887.276,2781.27,2876.5613,2886.3364,1,0,2,2881.29
2023-07-13T15:00:00+03:00,2884.55,0.37373015,2936.0483,2861.3677,2887.544,2785.8535,2877.2002,2885.9395,1,0,2,2881.21
2023-07-13T16:00:00+03:00,2885.48,0.37377715,2936.5928,2862.7856,2887.716,2790.4297,2877.8625,2885.8374,1,0,2,2884.55
2023-07-13T17:00:00+03:00,2885.5,0.37399015,2935.6924,2864.255,2887.7563,2795.7056,2878.4736,2885.7625,1,0,2,2885.48
2023-07-13T18:00:00+03:00,2885.63,0.37432653,2933.827,2865.7124,2887.7212,2801.2473,2879.0461,2885.733,1,0,2,2885.5
